id,city,base_fare,charge_per_km,charge_per_min,night_charge,night_start_time,night_end_time,booking_fee,surge_boost_multiplier,,,
471,Bhiwadi,25,7,1,1.5,22,5,5,1,,,
472,Ballia,25,7,1,1.5,22,5,5,1,,,
473,Bansberia,25,7,1,1.5,22,5,5,1,,,
474,Tadepalligudem,25,7,1,1.5,22,5,5,1,,,
475,Miryalaguda,25,7,1,1.5,22,5,5,1,,,
476,Baraut,25,7,1,1.5,22,5,5,1,,,
477,Udgir,25,7,1,1.5,22,5,5,1,,,
478,Betul,25,7,1,1.5,22,5,5,1,,,
479,Bundi,25,7,1,1.5,22,5,5,1,,,
480,Jehanabad,25,7,1,1.5,22,5,5,1,,,
481,Ambala Sadar,25,7,1,1.5,22,5,5,1,,,
482,Nagapattinam,25,7,1,1.5,22,5,5,1,,,
483,Nagaur,25,7,1,1.5,22,5,5,1,,,
484,Buxar,25,7,1,1.5,22,5,5,1,,,
485,Seoni,25,7,1,1.5,22,5,5,1,,,
486,Aurangabad,25,7,1,1.5,22,5,5,1,,,
487,Greater Noida,25,7,1,1.5,22,5,5,1,,,
488,Hinganghat,25,7,1,1.5,22,5,5,1,,,
489,Sujangarh,25,7,1,1.5,22,5,5,1,,,
490,Bhadreswar,25,7,1,1.5,22,5,5,1,,,
491,Chilakaluripet,25,7,1,1.5,22,5,5,1,,,
492,Kasganj,25,7,1,1.5,22,5,5,1,,,
493,Kalyani,25,7,1,1.5,22,5,5,1,,,
494,Gangtok,25,7,1,1.5,22,5,5,1,,,
495,Datia,25,7,1,1.5,22,5,5,1,,,
496,Nagda,25,7,1,1.5,22,5,5,1,,,
497,Banswara,25,7,1,1.5,22,5,5,1,,,
498,Kapurthala,25,7,1,1.5,22,5,5,1,,,
